YEAR,category,aktor,film,type
2023,BEST PICTURE,"Todd Field, Alexandra Milchan and Scott Lambert, Producers","""Tár""",nominees
2023,BEST PICTURE,"Tom Cruise, Christopher McQuarrie, David Ellison and Jerry Bruckheimer, Producers","""Top Gun: Maverick""",nominees
2023,BEST PICTURE,"Erik Hemmendorff and Philippe Bober, Producers","""Triangle of Sadness""",nominees
2023,BEST PICTURE,"Dede Gardner, Jeremy Kleiner and Frances McDormand, Producers","""Women Talking""",nominees
2023,PRODUCTION DESIGN,Production Design: Christian M. Goldbeck; Set Decoration: Ernestine Hipper,"""All Quiet on the Western Front""",Winner
2023,PRODUCTION DESIGN,Production Design: Dylan Cole and Ben Procter; Set Decoration: Vanessa Cole,"""Avatar: The Way of Water""",nominees
2023,PRODUCTION DESIGN,Production Design: Florencia Martin; Set Decoration: Anthony Carlino,"""Babylon""",nominees
2023,PRODUCTION DESIGN,Production Design: Catherine Martin and Karen Murphy; Set Decoration: Bev Dunn,"""Elvis""",nominees
2023,PRODUCTION DESIGN,Production Design: Rick Carter; Set Decoration: Karen O'Hara,"""The Fabelmans""",nominees
2023,SHORT FILM (Animated),Charlie Mackesy and Matthew Freud,"""The Boy, the Mole, the Fox and the Horse""",Winner
2023,SHORT FILM (Animated),Amanda Forbis and Wendy Tilby,"""The Flying Sailor""",nominees
2023,SHORT FILM (Animated),João Gonzalez and Bruno Caetano,"""Ice Merchants""",nominees
2023,SHORT FILM (Animated),Sara Gunnarsdóttir and Pamela Ribon,"""My Year of Dicks""",nominees
2023,SHORT FILM (Animated),Lachlan Pendragon,"""An Ostrich Told Me the World Is Fake and I Think I Believe It""",nominees
2023,SHORT FILM (Live Action),Tom Berkeley and Ross White,"""An Irish Goodbye""",Winner
2023,SHORT FILM (Live Action),Anders Walter and Rebecca Pruzan,"""Ivalu""",nominees
2023,SHORT FILM (Live Action),Alice Rohrwacher and Alfonso Cuarón,"""Le Pupille""",nominees
2023,SHORT FILM (Live Action),Eirik Tveiten and Gaute Lid Larssen,"""Night Ride""",nominees
2023,SHORT FILM (Live Action),Cyrus Neshvad,"""The Red Suitcase""",nominees
2023,SOUND,"Mark Weingarten, James H. Mather, Al Nelson, Chris Burdon and Mark Taylor","""Top Gun: Maverick""",Winner
2023,SOUND,"Viktor Prášil, Frank Kruse, Markus Stemler, Lars Ginzel and Stefan Korte","""All Quiet on the Western Front""",nominees
2023,SOUND,"Julian Howarth, Gwendolyn Yates Whittle, Dick Bernstein, Christopher Boyes, Gary Summers and Michael Hedges","""Avatar: The Way of Water""",nominees
2023,SOUND,"Stuart Wilson, William Files, Douglas Murray and Andy Nelson","""The Batman""",nominees
2023,SOUND,"David Lee, Wayne Pashley, Andy Nelson and Michael Keller","""Elvis""",nominees
2023,VISUAL EFFECTS,"Joe Letteri, Richard Baneham, Eric Saindon and Daniel Barrett","""Avatar: The Way of Water""",Winner
2023,VISUAL EFFECTS,"Frank Petzold, Viktor Müller, Markus Frank and Kamil Jafar","""All Quiet on the Western Front""",nominees
2023,VISUAL EFFECTS,"Dan Lemmon, Russell Earl, Anders Langlands and Dominic Tuohy","""The Batman""",nominees
2023,VISUAL EFFECTS,"Geoffrey Baumann, Craig Hammack, R. Christopher White and Dan Sudick","""Black Panther: Wakanda Forever""",nominees
2023,VISUAL EFFECTS,"Ryan Tudhope, Seth Hill, Bryan Litson and Scott R. Fisher","""Top Gun: Maverick""",nominees
2023,WRITING (Adapted Screenplay),Screenplay by Sarah Polley,"""Women Talking""",Winner
2023,WRITING (Adapted Screenplay),"Screenplay - Edward Berger, Lesley Paterson & Ian Stokell - ""All Quiet on the Western Front""",,nominees
2023,WRITING (Adapted Screenplay),Written by Rian Johnson,"""Glass Onion: A Knives Out Mystery""",nominees
2023,WRITING (Adapted Screenplay),Written by Kazuo Ishiguro,"""Living""",nominees
2023,WRITING (Adapted Screenplay),Screenplay by Ehren Kruger and Eric Warren Singer and Christopher McQuarrie; Story by Peter Craig and Justin Marks,"""Top Gun: Maverick""",nominees
2023,WRITING (Original Screenplay),Written by Daniel Kwan & Daniel Scheinert,"""Everything Everywhere All at Once""",Winner
2023,WRITING (Original Screenplay),Written by Martin McDonagh,"""The Banshees of Inisherin""",nominees
2023,WRITING (Original Screenplay),Written by Steven Spielberg & Tony Kushner,"""The Fabelmans""",nominees
2023,WRITING (Original Screenplay),Written by Todd Field,"""Tár""",nominees
2023,WRITING (Original Screenplay),Written by Ruben Östlund,"""Triangle of Sadness""",nominees
2023,JEAN HERSHOLT HUMANITARIAN AWARD,nan,,Winner
2023,HONORARY AWARD,"To Euzhan Palcy, a masterful filmmaker who broke ground for Black women directors and inspired storytellers of all kinds across the globe.",,Winner
2023,HONORARY AWARD,"To Diane Warren, for her genius, generosity and passionate commitment to the power of song in film.",,Winner
2023,HONORARY AWARD,"To Peter Weir, a fearless and consummate filmmaker who has illuminated the human experience with his unique and expansive body of work.",,Winner
2023,GORDON E. SAWYER AWARD,Iain Neil,,Winner
2023,AWARD OF COMMENDATION,To Ryan Laney for his innovative adaptation and deployment of AI-driven facial veiling technology used to protect the identities while preserving the visual relatability of subjects in documentary filmmaking as exemplified in Welcome to Chechnya (2020).,"""Welcome to Chechnya""",Winner
2022,ACTOR IN A LEADING ROLE,Will Smith,"""King Richard""",Winner
2022,ACTOR IN A LEADING ROLE,Javier Bardem,"""Being the Ricardos""",nominees
2022,ACTOR IN A LEADING ROLE,Benedict Cumberbatch,"""The Power of the Dog""",nominees
2022,ACTOR IN A LEADING ROLE,Andrew Garfield,"""tick, tick...BOOM!""",nominees
2022,ACTOR IN A LEADING ROLE,Denzel Washington,"""The Tragedy of Macbeth""",nominees
2022,ACTOR IN A SUPPORTING ROLE,Troy Kotsur,"""CODA""",Winner
2022,ACTOR IN A SUPPORTING ROLE,Ciarán Hinds,"""Belfast""",nominees
2022,ACTOR IN A SUPPORTING ROLE,Jesse Plemons,"""The Power of the Dog""",nominees
2022,ACTOR IN A SUPPORTING ROLE,J.K. Simmons,"""Being the Ricardos""",nominees
2022,ACTOR IN A SUPPORTING ROLE,Kodi Smit-McPhee,"""The Power of the Dog""",nominees
2022,ACTRESS IN A LEADING ROLE,Jessica Chastain,"""The Eyes of Tammy Faye""",Winner
2022,ACTRESS IN A LEADING ROLE,Olivia Colman,"""The Lost Daughter""",nominees
2022,ACTRESS IN A LEADING ROLE,Penélope Cruz,"""Parallel Mothers""",nominees
2022,ACTRESS IN A LEADING ROLE,Nicole Kidman,"""Being the Ricardos""",nominees
2022,ACTRESS IN A LEADING ROLE,Kristen Stewart,"""Spencer""",nominees
2022,ACTRESS IN A SUPPORTING ROLE,Ariana DeBose,"""West Side Story""",Winner
2022,ACTRESS IN A SUPPORTING ROLE,Jessie Buckley,"""The Lost Daughter""",nominees
2022,ACTRESS IN A SUPPORTING ROLE,Judi Dench,"""Belfast""",nominees
2022,ACTRESS IN A SUPPORTING ROLE,Kirsten Dunst,"""The Power of the Dog""",nominees
2022,ACTRESS IN A SUPPORTING ROLE,Aunjanue Ellis,"""King Richard""",nominees
2022,ANIMATED FEATURE FILM,"Jared Bush, Byron Howard, Yvett Merino and Clark Spencer","""Encanto""",Winner
2022,ANIMATED FEATURE FILM,"Jonas Poher Rasmussen, Monica Hellström, Signe Byrge Sørensen and Charlotte De La Gournerie","""Flee""",nominees
2022,ANIMATED FEATURE FILM,Enrico Casarosa and Andrea Warren,"""Luca""",nominees
