YEAR,category,aktor,film,type
2024,ACTOR IN A SUPPORTING ROLE,Ryan Gosling,"""Barbie""",nominee
2024,ACTOR IN A SUPPORTING ROLE,Mark Ruffalo,"""Poor Things""",nominee
2024,ACTRESS IN A LEADING ROLE,Annette Bening,"""Nyad""",nominee
2024,ACTRESS IN A LEADING ROLE,Lily Gladstone,"""Killers of the Flower Moon""",nominee
2024,ACTRESS IN A LEADING ROLE,Sandra Hüller,"""Anatomy of a Fall""",nominee
2024,ACTRESS IN A LEADING ROLE,Carey Mulligan,"""Maestro""",nominee
2024,ACTRESS IN A SUPPORTING ROLE,Emily Blunt,"""Oppenheimer""",nominee
2024,ACTRESS IN A SUPPORTING ROLE,Danielle Brooks,"""The Color Purple""",nominee
2024,ACTRESS IN A SUPPORTING ROLE,America Ferrera,"""Barbie""",nominee
2024,ACTRESS IN A SUPPORTING ROLE,Jodie Foster,"""Nyad""",nominee
2024,ANIMATED FEATURE FILM,Peter Sohn,"""Elemental""",nominee
2024,ANIMATED FEATURE FILM,Denise Ream,"""Elemental""",nominee
2024,ANIMATED FEATURE FILM,Nick Bruno,"""Nimona""",nominee
2024,ANIMATED FEATURE FILM,Troy Quane,"""Nimona""",nominee
2024,ANIMATED FEATURE FILM,Karen Ryan,"""Nimona""",nominee
2024,ANIMATED FEATURE FILM,Julie Zackary,"""Nimona""",nominee
2024,ANIMATED FEATURE FILM,Pablo Berger,"""Robot Dreams""",nominee
2024,ANIMATED FEATURE FILM,Ibon Cormenzana,"""Robot Dreams""",nominee
2024,ANIMATED FEATURE FILM,Ignasi Estapé,"""Robot Dreams""",nominee
2024,ANIMATED FEATURE FILM,Sandra Tapia Díaz,"""Robot Dreams""",nominee
2024,ANIMATED FEATURE FILM,Kemp Powers,"""Spider-Man: Across the Spider-Verse""",nominee
2024,ANIMATED FEATURE FILM,Justin K. Thompson,"""Spider-Man: Across the Spider-Verse""",nominee
2024,ANIMATED FEATURE FILM,Phil Lord,"""Spider-Man: Across the Spider-Verse""",nominee
2024,ANIMATED FEATURE FILM,Christopher Miller,"""Spider-Man: Across the Spider-Verse""",nominee
2024,ANIMATED FEATURE FILM,Amy Pascal,"""Spider-Man: Across the Spider-Verse""",nominee
2024,CINEMATOGRAPHY,Edward Lachman,"""El Conde""",nominee
2024,CINEMATOGRAPHY,Rodrigo Prieto,"""Killers of the Flower Moon""",nominee
2024,CINEMATOGRAPHY,Matthew Libatique,"""Maestro""",nominee
2024,CINEMATOGRAPHY,Robbie Ryan,"""Poor Things""",nominee
2024,COSTUME DESIGN,Jacqueline Durran,"""Barbie""",nominee
2024,COSTUME DESIGN,Jacqueline West,"""Killers of the Flower Moon""",nominee
2024,COSTUME DESIGN,Janty Yates,"""Napoleon""",nominee
2024,COSTUME DESIGN,Dave Crossman,"""Napoleon""",nominee
2024,COSTUME DESIGN,Ellen Mirojnick,"""Oppenheimer""",nominee
2024,DIRECTING,Justine Triet,"""Anatomy of a Fall""",nominee
2024,DIRECTING,Martin Scorsese,"""Killers of the Flower Moon""",nominee
2024,DIRECTING,Yorgos Lanthimos,"""Poor Things""",nominee
2024,DIRECTING,Jonathan Glazer,"""The Zone of Interest""",nominee
2024,DOCUMENTARY FEATURE FILM,Moses Bwayo,"""Bobi Wine: The People's President""",nominee
2024,DOCUMENTARY FEATURE FILM,Christopher Sharp,"""Bobi Wine: The People's President""",nominee
2024,DOCUMENTARY FEATURE FILM,John Battsek,"""Bobi Wine: The People's President""",nominee
2024,DOCUMENTARY FEATURE FILM,Maite Alberdi,"""The Eternal Memory""",nominee
2024,DOCUMENTARY FEATURE FILM,Kaouther Ben Hania,"""Four Daughters""",nominee
2024,DOCUMENTARY FEATURE FILM,Nadim Cheikhrouha,"""Four Daughters""",nominee
2024,DOCUMENTARY FEATURE FILM,Nisha Pahuja,"""To Kill a Tiger""",nominee
2024,DOCUMENTARY FEATURE FILM,Cornelia Principe,"""To Kill a Tiger""",nominee
2024,DOCUMENTARY FEATURE FILM,David Oppenheim,"""To Kill a Tiger""",nominee
2024,DOCUMENTARY SHORT FILM,Sheila Nevins,"""The ABCs of Book Banning""",nominee
2024,DOCUMENTARY SHORT FILM,Trish Adlesic,"""The ABCs of Book Banning""",nominee
2024,DOCUMENTARY SHORT FILM,John Hoffman,"""The Barber of Little Rock""",nominee
2024,DOCUMENTARY SHORT FILM,Christine Turner,"""The Barber of Little Rock""",nominee
2024,DOCUMENTARY SHORT FILM,S. Leo Chiang,"""Island in Between""",nominee
2024,DOCUMENTARY SHORT FILM,Jean Tsien,"""Island in Between""",nominee
2024,DOCUMENTARY SHORT FILM,Sean Wang,"""Nai Nai & Wài Pó""",nominee
2024,DOCUMENTARY SHORT FILM,Sam Davis,"""Nai Nai & Wài Pó""",nominee
2024,FILM EDITING,Laurent Sénéchal,"""Anatomy of a Fall""",nominee
2024,FILM EDITING,Kevin Tent,"""The Holdovers""",nominee
2024,FILM EDITING,Thelma Schoonmaker,"""Killers of the Flower Moon""",nominee
2024,FILM EDITING,Yorgos Mavropsaridis,"""Poor Things""",nominee
2024,INTERNATIONAL FEATURE FILM,Italy,"""Io Capitano""",nominee
2024,INTERNATIONAL FEATURE FILM,Japan,"""Perfect Days""",nominee
2024,INTERNATIONAL FEATURE FILM,Spain,"""Society of the Snow""",nominee
2024,INTERNATIONAL FEATURE FILM,Germany,"""The Teachers' Lounge""",nominee
2024,MAKEUP AND HAIRSTYLING,Karen Hartley Thomas,"""Golda""",nominee
2024,MAKEUP AND HAIRSTYLING,Suzi Battersby,"""Golda""",nominee
2024,MAKEUP AND HAIRSTYLING,Ashra Kelly-Blue,"""Golda""",nominee
2024,MAKEUP AND HAIRSTYLING,Kazu Hiro,"""Maestro""",nominee
2024,MAKEUP AND HAIRSTYLING,Kay Georgiou,"""Maestro""",nominee
2024,MAKEUP AND HAIRSTYLING,Lori McCoy-Bell,"""Maestro""",nominee
2024,MAKEUP AND HAIRSTYLING,Luisa Abel,"""Oppenheimer""",nominee
2024,MAKEUP AND HAIRSTYLING,Ana López-Puigcerver,"""Society of the Snow""",nominee
2024,MAKEUP AND HAIRSTYLING,David Martí,"""Society of the Snow""",nominee
2024,MAKEUP AND HAIRSTYLING,Montse Ribé,"""Society of the Snow""",nominee
2024,MUSIC (Original Score),Laura Karpman,"""American Fiction""",nominee
2024,MUSIC (Original Score),John Williams,"""Indiana Jones and the Dial of Destiny""",nominee
2024,MUSIC (Original Score),Robbie Robertson,"""Killers of the Flower Moon""",nominee
2024,MUSIC (Original Score),Jerskin Fendrix,"""Poor Things""",nominee
2024,MUSIC (Original Song),Diane Warren,"""Flamin' Hot""",nominee
2024,MUSIC (Original Song),Mark Ronson,"""Barbie""",nominee
2024,MUSIC (Original Song),Andrew Wyatt,"""Barbie""",nominee
2024,MUSIC (Original Song),Jon Batiste,"""American Symphony""",nominee
2024,MUSIC (Original Song),Dan Wilson,"""American Symphony""",nominee
2024,MUSIC (Original Song),Scott George,"""Killers of the Flower Moon""",nominee
2024,BEST PICTURE,Ben LeClair,"""American Fiction""",nominee
2024,BEST PICTURE,Nikos Karamigios,"""American Fiction""",nominee
2024,BEST PICTURE,Cord Jefferson,"""American Fiction""",nominee
2024,BEST PICTURE,Jermaine Johnson,"""American Fiction""",nominee
2024,BEST PICTURE,Marie-Ange Luciani,"""Anatomy of a Fall""",nominee
2024,BEST PICTURE,David Thion,"""Anatomy of a Fall""",nominee
2024,BEST PICTURE,David Heyman,"""Barbie""",nominee
2024,BEST PICTURE,Margot Robbie,"""Barbie""",nominee
2024,BEST PICTURE,Tom Ackerley,"""Barbie""",nominee
2024,BEST PICTURE,Robbie Brenner,"""Barbie""",nominee
2024,BEST PICTURE,Mark Johnson,"""The Holdovers""",nominee
2024,BEST PICTURE,Dan Friedkin,"""Killers of the Flower Moon""",nominee
2024,BEST PICTURE,Bradley Thomas,"""Killers of the Flower Moon""",nominee
2024,BEST PICTURE,Martin Scorsese,"""Killers of the Flower Moon""",nominee
2024,BEST PICTURE,Daniel Lupi,"""Killers of the Flower Moon""",nominee
2024,BEST PICTURE,Bradley Cooper,"""Maestro""",nominee
2024,BEST PICTURE,Steven Spielberg,"""Maestro""",nominee
2024,BEST PICTURE,Fred Berner,"""Maestro""",nominee
2024,BEST PICTURE,Amy Durning,"""Maestro""",nominee
2024,BEST PICTURE,Kristie Macosko Krieger,"""Maestro""",nominee
2024,BEST PICTURE,David Hinojosa,"""Past Lives""",nominee
2024,BEST PICTURE,Christine Vachon,"""Past Lives""",nominee
2024,BEST PICTURE,Pamela Koffler,"""Past Lives""",nominee
2024,BEST PICTURE,Ed Guiney,"""Poor Things""",nominee
2024,BEST PICTURE,Andrew Lowe,"""Poor Things""",nominee
2024,BEST PICTURE,Yorgos Lanthimos,"""Poor Things""",nominee
2024,BEST PICTURE,Emma Stone,"""Poor Things""",nominee
2024,BEST PICTURE,James Wilson,"""The Zone of Interest""",nominee
2024,PRODUCTION DESIGN,Sarah Greenwood,"""Barbie""",nominee
2024,PRODUCTION DESIGN,Katie Spencer,"""Barbie""",nominee
2024,PRODUCTION DESIGN,Jack Fisk,"""Killers of the Flower Moon""",nominee
2024,PRODUCTION DESIGN,Adam Willis,"""Killers of the Flower Moon""",nominee
2024,PRODUCTION DESIGN,Arthur Max,"""Napoleon""",nominee
2024,PRODUCTION DESIGN,Elli Griff,"""Napoleon""",nominee
2024,PRODUCTION DESIGN,Ruth De Jong,"""Oppenheimer""",nominee
2024,PRODUCTION DESIGN,Claire Kaufman,"""Oppenheimer""",nominee
2024,SHORT FILM (Animated),Tal Kantor,"""Letter to a Pig""",nominee
2024,SHORT FILM (Animated),Amit R. Gicelter,"""Letter to a Pig""",nominee
2024,SHORT FILM (Animated),Jerusha Hess,"""Ninety-Five Senses""",nominee
2024,SHORT FILM (Animated),Jared Hess,"""Ninety-Five Senses""",nominee
2024,SHORT FILM (Animated),Yegane Moghaddam,"""Our Uniform""",nominee
2024,SHORT FILM (Animated),Stéphanie Clément,"""Pachyderme""",nominee
2024,SHORT FILM (Animated),Marc Rius,"""Pachyderme""",nominee
2024,SHORT FILM (Live Action),Misan Harriman,"""The After""",nominee
2024,SHORT FILM (Live Action),Nicky Bentham,"""The After""",nominee
2024,SHORT FILM (Live Action),Vincent René-Lortie,"""Invincible""",nominee
2024,SHORT FILM (Live Action),Samuel Caron,"""Invincible""",nominee
2024,SHORT FILM (Live Action),Lasse Lyskjær Noer,"""Knight of Fortune""",nominee
2024,SHORT FILM (Live Action),Christian Norlyk,"""Knight of Fortune""",nominee
2024,SHORT FILM (Live Action),Nazrin Choudhury,"""Red, White and Blue""",nominee
2024,SHORT FILM (Live Action),Sara McFarlane,"""Red, White and Blue""",nominee
2024,SOUND,Ian Voigt,"""The Creator""",nominee
2024,SOUND,Erik Aadahl,"""The Creator""",nominee
2024,SOUND,Ethan Van der Ryn,"""The Creator""",nominee
2024,SOUND,Tom Ozanich,"""The Creator""",nominee
2024,SOUND,Dean Zupancic,"""The Creator""",nominee
2024,SOUND,Steven A. Morrow,"""Maestro""",nominee
2024,SOUND,Richard King,"""Maestro""",nominee
2024,SOUND,Jason Ruder,"""Maestro""",nominee
2024,SOUND,Tom Ozanich,"""Maestro""",nominee
2024,SOUND,Dean Zupancic,"""Maestro""",nominee
2024,SOUND,Chris Munro,"""Mission: Impossible - Dead Reckoning Part One""",nominee
2024,SOUND,James H. Mather,"""Mission: Impossible - Dead Reckoning Part One""",nominee
2024,SOUND,Chris Burdon,"""Mission: Impossible - Dead Reckoning Part One""",nominee
2024,SOUND,Mark Taylor,"""Mission: Impossible - Dead Reckoning Part One""",nominee
2024,SOUND,Willie Burton,"""Oppenheimer""",nominee
2024,SOUND,Richard King,"""Oppenheimer""",nominee
2024,SOUND,Gary A. Rizzo,"""Oppenheimer""",nominee
2024,SOUND,Kevin O'Connell,"""Oppenheimer""",nominee
2024,VISUAL EFFECTS,Jay Cooper,"""The Creator""",nominee
2024,VISUAL EFFECTS,Ian Comley,"""The Creator""",nominee
2024,VISUAL EFFECTS,Andrew Roberts,"""The Creator""",nominee
2024,VISUAL EFFECTS,Neil Corbould,"""The Creator""",nominee
2024,VISUAL EFFECTS,Stephane Ceretti,"""Guardians of the Galaxy Vol. 3""",nominee
2024,VISUAL EFFECTS,Alexis Wajsbrot,"""Guardians of the Galaxy Vol. 3""",nominee
2024,VISUAL EFFECTS,Guy Williams,"""Guardians of the Galaxy Vol. 3""",nominee
2024,VISUAL EFFECTS,Theo Bialek,"""Guardians of the Galaxy Vol. 3""",nominee
2024,VISUAL EFFECTS,Alex Wuttke,"""Mission: Impossible - Dead Reckoning Part One""",nominee
2024,VISUAL EFFECTS,Simone Coco,"""Mission: Impossible - Dead Reckoning Part One""",nominee
2024,VISUAL EFFECTS,Jeff Sutherland,"""Mission: Impossible - Dead Reckoning Part One""",nominee
2024,VISUAL EFFECTS,Neil Corbould,"""Mission: Impossible - Dead Reckoning Part One""",nominee
2024,VISUAL EFFECTS,Charley Henley,"""Napoleon""",nominee
2024,VISUAL EFFECTS,Luc-Ewen Martin-Fenouillet,"""Napoleon""",nominee
2024,VISUAL EFFECTS,Simone Coco,"""Napoleon""",nominee
2024,VISUAL EFFECTS,Neil Corbould,"""Napoleon""",nominee
2024,WRITING (Adapted Screenplay),Greta Gerwig,"""Barbie""",nominee
2024,WRITING (Adapted Screenplay),Noah Baumbach,"""Barbie""",nominee
2024,WRITING (Adapted Screenplay),Christopher Nolan,"""Oppenheimer""",nominee
2024,WRITING (Adapted Screenplay),Tony McNamara,"""Poor Things""",nominee
2024,WRITING (Adapted Screenplay),Jonathan Glazer,"""The Zone of Interest""",nominee
2024,WRITING (Original Screenplay),David Hemingson,"""The Holdovers""",nominee
2024,WRITING (Original Screenplay),Bradley Cooper,"""Maestro""",nominee
2024,WRITING (Original Screenplay),Josh Singer,"""Maestro""",nominee
2024,WRITING (Original Screenplay),Samy Burch,"""May December""",nominee
2024,WRITING (Original Screenplay),Samy Burch,"""May December""",nominee
2024,WRITING (Original Screenplay),Alex Mechanik,"""May December""",nominee
2024,WRITING (Original Screenplay),Celine Song,"""Past Lives""",nominee
2023,ACTOR IN A LEADING ROLE,Brendan Fraser,"""The Whale""",Winner
2023,ACTOR IN A SUPPORTING ROLE,Ke Huy Quan,"""Everything Everywhere All at Once""",Winner
2023,ACTRESS IN A LEADING ROLE,Michelle Yeoh,"""Everything Everywhere All at Once""",Winner
2023,ACTRESS IN A SUPPORTING ROLE,Jamie Lee Curtis,"""Everything Everywhere All at Once""",Winner
2023,ANIMATED FEATURE FILM,Guillermo del Toro,"""Guillermo del Toro's Pinocchio""",Winner
2023,ANIMATED FEATURE FILM,Mark Gustafson,"""Guillermo del Toro's Pinocchio""",Winner
2023,ANIMATED FEATURE FILM,Gary Ungar,"""Guillermo del Toro's Pinocchio""",Winner
2023,ANIMATED FEATURE FILM,Alex Bulkley,"""Guillermo del Toro's Pinocchio""",Winner
2023,CINEMATOGRAPHY,James Friend,"""All Quiet on the Western Front""",Winner
2023,COSTUME DESIGN,Ruth Carter,"""Black Panther: Wakanda Forever""",Winner
2023,DIRECTING,Daniel Kwan,"""Everything Everywhere All at Once""",Winner
2023,DIRECTING,Daniel Scheinert,"""Everything Everywhere All at Once""",Winner
2023,DOCUMENTARY FEATURE FILM,Daniel Roher,"""Navalny""",Winner
2023,DOCUMENTARY FEATURE FILM,Odessa Rae,"""Navalny""",Winner
2023,DOCUMENTARY FEATURE FILM,Diane Becker,"""Navalny""",Winner
2023,DOCUMENTARY FEATURE FILM,Melanie Miller,"""Navalny""",Winner
2023,DOCUMENTARY FEATURE FILM,Shane Boris,"""Navalny""",Winner
2023,DOCUMENTARY SHORT FILM,Kartiki Gonsalves,"""The Elephant Whisperers""",Winner
2023,DOCUMENTARY SHORT FILM,Guneet Monga,"""The Elephant Whisperers""",Winner
2023,FILM EDITING,Paul Rogers,"""Everything Everywhere All at Once""",Winner
2023,INTERNATIONAL FEATURE FILM,Germany,"""All Quiet on the Western Front""",Winner
2023,MAKEUP AND HAIRSTYLING,Adrien Morot,"""The Whale""",Winner
2023,MAKEUP AND HAIRSTYLING,Judy Chin,"""The Whale""",Winner
2023,MAKEUP AND HAIRSTYLING,Annemarie Bradley,"""The Whale""",Winner
2023,MUSIC (Original Score),Volker Bertelmann,"""All Quiet on the Western Front""",Winner
2023,MUSIC (Original Song),M.M. Keeravaani,"""RRR""",Winner
2023,MUSIC (Original Song),Chandrabose,"""RRR""",Winner
2023,BEST PICTURE,Daniel Kwan,"""Everything Everywhere All at Once""",Winner
2023,BEST PICTURE,Daniel Scheinert,"""Everything Everywhere All at Once""",Winner
2023,BEST PICTURE,Jonathan Wang,"""Everything Everywhere All at Once""",Winner
2023,PRODUCTION DESIGN,Christian M. Goldbeck,"""All Quiet on the Western Front""",Winner
2023,PRODUCTION DESIGN,Ernestine Hipper,"""All Quiet on the Western Front""",Winner
2023,SHORT FILM (Animated),Charlie Mackesy,"""The Boy, the Mole, the Fox and the Horse""",Winner
2023,SHORT FILM (Animated),Matthew Freud,"""The Boy, the Mole, the Fox and the Horse""",Winner
2023,SHORT FILM (Live Action),Tom Berkeley,"""An Irish Goodbye""",Winner
2023,SHORT FILM (Live Action),Ross White,"""An Irish Goodbye""",Winner
2023,SOUND,Mark Weingarten,"""Top Gun: Maverick""",Winner
2023,SOUND,James H. Mather,"""Top Gun: Maverick""",Winner
2023,SOUND,Al Nelson,"""Top Gun: Maverick""",Winner
2023,SOUND,Chris Burdon,"""Top Gun: Maverick""",Winner
2023,SOUND,Mark Taylor,"""Top Gun: Maverick""",Winner
2023,VISUAL EFFECTS,Joe Letteri,"""Avatar: The Way of Water""",Winner
2023,VISUAL EFFECTS,Richard Baneham,"""Avatar: The Way of Water""",Winner
2023,VISUAL EFFECTS,Eric Saindon,"""Avatar: The Way of Water""",Winner
2023,VISUAL EFFECTS,Daniel Barrett,"""Avatar: The Way of Water""",Winner
2023,WRITING (Adapted Screenplay),Sarah Polley,"""Women Talking""",Winner
2023,WRITING (Original Screenplay),Daniel Kwan,"""Everything Everywhere All at Once""",Winner
2023,WRITING (Original Screenplay),Daniel Scheinert,"""Everything Everywhere All at Once""",Winner
2023,JEAN HERSHOLT HUMANITARIAN AWARD,nan,,Winner
2023,GORDON E. SAWYER AWARD,Iain Neil,,Winner
2023,ACTOR IN A LEADING ROLE,Austin Butler,"""Elvis""",nominee
2023,ACTOR IN A LEADING ROLE,Colin Farrell,"""The Banshees of Inisherin""",nominee
2023,ACTOR IN A LEADING ROLE,Paul Mescal,"""Aftersun""",nominee
2023,ACTOR IN A LEADING ROLE,Bill Nighy,"""Living""",nominee
2023,ACTOR IN A SUPPORTING ROLE,Brendan Gleeson,"""The Banshees of Inisherin""",nominee
2023,ACTOR IN A SUPPORTING ROLE,Brian Tyree Henry,"""Causeway""",nominee
2023,ACTOR IN A SUPPORTING ROLE,Judd Hirsch,"""The Fabelmans""",nominee
